Production Date Alert Legend (Workloads in Stage 0-2 or 3),,,,,,,,,,,,,,,,,
Days Remaining (Production Date),Risk Level,Alert Criteria / Stage,,,,,,,,,,,,,,,
0 to 14 days (or overdue),🔴 Critical,Production Date <= 14 days in Stage 0-2 or 3,,,,,,,,,,,,,,,
15 to 30 days,🌸 High,Production Date 15-30 days in Stage 0-2 or 3,,,,,,,,,,,,,,,
31 to 45 days,🟡 Medium,Production Date 31-45 days in Stage 0-2 or 3,,,,,,,,,,,,,,,
> 45 days (or Stage >= 4),⚪ Normal,Standard Timeline / Delivery,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Partner Name,Customer Account Name,Account Tier,Workload Name,Capacity Status (DRP Readiness),Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hNTXTQA4/view"", ""Fundação São Francisco Xavier"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZPTcOAO/view"", ""FSFX  #GEMINI #GCP #OUT"")",🟢 Ready (4 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Os1loIAB/view"", ""FSFX  #GEMINI #GCP #OUT"")",,Corporate,BR CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,0-2: Tech Eval/Solution Dev,2026-10-21,2026-11-21,"60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hUEKQQA4/view"", ""PATRUS TRANSPORTES LTDA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZOMLOA4/view"", ""Projeto de Inovação - Patrus (tier1) #AIMBH26"")",🟢 Ready (4 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000ORNg5IAH/view"", ""Projeto de Inovação - Patrus (tier1) #AIMBH26"")",,Corporate,BR CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,0-2: Tech Eval/Solution Dev,2026-09-30,2026-09-30,"80,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htWqyQAE/view"", ""Valgroup"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQoLOAU/view"", ""Valgroup - GE"")",🟢 Ready (4 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Of71uIAB/view"", ""Valgroup #GCP #GeminiEnterprise #MQL"")",,Corporate,BR CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),,3:  Proposal / Negotiation,2026-09-16,2026-09-29,"80,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htVWHQA2/view"", ""CLIMATEMPO ASSESSORIA E CONSULTORIA METEOROLOGICA LTDA."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQONOA2/view"", ""Climatempo - CDP"")",🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Of5zsIAB/view"", ""CLIMATEMPO #GCP #CDP"")",,Corporate,BR CORP,Build with AI,,,3:  Proposal / Negotiation,2026-09-16,2026-09-24,"60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htVnnQAE/view"", ""AeC Centro de Contatos S/A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePrEOAU/view"", ""Fabrica de Agentes"")",🟡 Constrained (1 DRP Profile),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJSEUIA5/view"", ""Revisão da arquitetura para utilização de  Vertex AI e do Cloud Run"")",,Corporate,BR CORP,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Not a Solution,4.1: Pre Ramp / Mobilize,2026-08-06,2026-10-05,"95,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hWlDEQA0/view"", ""Embraco"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ePVcOAM/view"", ""[Nidec] #Gemini Enterprise | 1000 seats"")",🟡 Constrained (1 DRP Profile),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PWQjdIAH/view"", ""[Embraco/Nidec] #Gemini Enterprise | 1000 seats"")",,Corporate,BR CORP,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,0-2: Tech Eval/Solution Dev,2026-09-30,2026-10-16,"188,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001yS2OXQA0/view"", ""Redrive"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WCjbOAG/view"", ""Redrive #IA #GCP #OUT"")",🟢 Ready (4 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OpVupIAF/view"", ""Redrive  #IA #GCP #OUT"")",,Corporate,BR CORP,Build with AI,Scale AI Apps and Agents,Not a Solution,0-2: Tech Eval/Solution Dev,2026-11-30,2026-12-30,"15,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htVnnQAE/view"", ""AeC Centro de Contatos S/A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLhwOAG/view"", ""Assessment de Banco de dados - Mongo para Firestone #TDSYNNEX_NY_EXPEDITION_26"")",🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OFZXkIAP/view"", ""Assessment de Banco de dados - Mongo para Firestone #TDSYNNEX_NY_EXPEDITION_26"")",,Corporate,BR CORP,Migrate and Modernize Databases,"Migrate, Modernize, and Build with Data Cloud (Databases)","Move to Managed Databases (Homogeneous - Cloud SQL, AlloyDB, Firestore)",3:  Proposal / Negotiation,2026-09-16,2026-09-16,"120,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hUEKQQA4/view"", ""PATRUS TRANSPORTES LTDA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLXBOA4/view"", ""Patrus: Looker"")",🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeyZdIAJ/view"", ""Patrus: Looker"")",,Corporate,BR CORP,Migrate Modernize and Build,"Migrate, Modernize and Build",,0-2: Tech Eval/Solution Dev,2026-09-07,2026-09-18,"50,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htVnnQAE/view"", ""AeC Centro de Contatos S/A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZL8rOAG/view"", ""Fabrica de Agentes : Consumo Gemini Plataform"")",🟢 Ready (4 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJSEUIA5/view"", ""Revisão da arquitetura para utilização de  Vertex AI e do Cloud Run"")",,Corporate,BR CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,0-2: Tech Eval/Solution Dev,2026-09-18,2026-11-06,"200,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MADEINWEB S/A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htWqyQAE/view"", ""Valgroup"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kJ6aOAE/view"", ""Plantas - Rollout"")",🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OAakHIAT/view"", ""Modernizacao Industria - Valgroup"")",,Corporate,BR CORP,Migrate Modernize and Build,"Migrate, Modernize and Build",Not a Solution,0-2: Tech Eval/Solution Dev,2026-10-30,2026-11-18,"700,000.00",,
