Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Wanda Flores,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002TEyhPQAT/view"", ""Admazing Cloud"")",Argentina / US / Regional,Premier,15,"$897,964.00",11,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1tgD20PVyBZu0xo73GmVLBYOlqg42rSE6FqWLWbNatqQ/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h32gOQAQ/view"", ""Algeiba Business Solutions"")",Argentina / MCO,Premier,19,"$1,772,064.25",14,11,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1cVqPG7f33IsKQ3702M_1YyzAMSm2UfjExFuRoHo9rRc/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h35dDQAQ/view"", ""BFS Ingeniería Aplicada"")",Mexico / MCO,Premier,1,"$144,000.00",0,39,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1sZlGmDoTeKj7WSbZZybw7hGYPV7ELAnCeprQAzD1WgU/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RSBX5QAP/view"", ""Rubik"")",Chile / MCO,Premier,9,"$847,904.00",0,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/12tvcHWz0q48DgSPZcGqQsQtGd36MnAk_bhQRx4u5axs/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001p45vjQAA/view"", ""Super Software"")",Chile,Premier,14,"$1,441,545.00",0,31,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Z27kkt7CrAH_AnV1GYQ51MYQJIrKOutKPM2tHF-iYdQ/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h32CTQAY/view"", ""Tigabytes"")",Chile / Regional,Premier,2,"$102,000.00",99,0,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1SkQLFoP2BQouGKutI5G14bxLiYZM4qsfM-Z30cj-unY/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001jjfBUQAY/view"", ""Xertica"")",Regional / LATAM,Premier,141,"$15,389,557.18",412,184,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/15t2IBgfMPcYUoQSXdRjjg8XCrM5jOu6qSgic5NzqUNs/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h35nAQAQ/view"", ""CU2 CLOUD TEC STORE SL"")",Regional / Spain & LATAM,Premier,14,"$1,872,000.00",192,25,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1oPv0eexAbvaP_sGQx70X8gEiooR9dXCFuFv1QDFhUew/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001msBmRQAU/view"", ""Emergys Mexico"")",Mexico,Premier,17,"$1,738,236.00",14,3,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1hikFFuQ0QpDgBY_FtnLcqHpUiASexgSGsPYrCZUNMY4/edit#gid=0"", ""Open Partner Tracker ↗"")"
Ignacio Rauda,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001F9DzjIAF/view"", ""NXN Consultores"")",Mexico,Premier,24,"$2,331,530.00",6,10,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Tt1P5qe8P7Q3GETH1KOuGdCPsf-MBQKaMtDx3S20wIk/edit#gid=0"", ""Open Partner Tracker ↗"")"
