Partner Engineer (PE),Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002NlVN0QAN/view"", ""Admazing Cloud"")",Argentina / MCO,Premier,13,"$852,964.00",11,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1ofym1wCiQW6kz0z-vewGIh_XQ72GzuwoiTFmS0GLRB0/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h32gOQAQ/view"", ""Algeiba Business Solutions"")",Argentina / MCO,Premier,19,"$1,737,064.25",14,11,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1cVqPG7f33IsKQ3702M_1YyzAMSm2UfjExFuRoHo9rRc/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h35dDQAQ/view"", ""BFS Ingeniería Aplicada"")",Mexico / MCO,Premier,1,"$144,000.00",0,38,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1sZlGmDoTeKj7WSbZZybw7hGYPV7ELAnCeprQAzD1WgU/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002RSBX5QAP/view"", ""Rubik"")",Chile / MCO,Premier,8,"$787,904.00",0,9,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/12tvcHWz0q48DgSPZcGqQsQtGd36MnAk_bhQRx4u5axs/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001p45vjQAA/view"", ""Super Software"")",Chile,Premier,14,"$1,346,505.00",0,31,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1Z27kkt7CrAH_AnV1GYQ51MYQJIrKOutKPM2tHF-iYdQ/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h32CTQAY/view"", ""Tigabytes"")",Chile / Regional,Premier,2,"$102,000.00",92,0,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1SkQLFoP2BQouGKutI5G14bxLiYZM4qsfM-Z30cj-unY/edit#gid=0"", ""Open Partner Tracker ↗"")"
Fernando Laguna,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001jjfBUQAY/view"", ""Xertica"")",Regional / LATAM,Premier,132,"$16,064,565.56",412,190,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/15t2IBgfMPcYUoQSXdRjjg8XCrM5jOu6qSgic5NzqUNs/edit#gid=0"", ""Open Partner Tracker ↗"")"
"Ignacio Rauda, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001E75n9IAB/view"", ""Growth Partner Network (GPN)"")",Mexico / Chile,Premier,38,"$4,069,020.00",0,14,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1STeEh2SntjsXd-Ddse4YyBthPbWLql_bHB4HXIzRb2w/edit#gid=0"", ""Open Partner Tracker ↗"")"
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS (Servinformación)"")",Colombia / Regional LATAM,Premier,263,"$30,458,934.35",502,251,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1H3cgdClncDnQDK9kY8s6U59jnfK_w4UmbE-z8dWexbs/edit#gid=0"", ""Open Partner Tracker ↗"")"
TOTAL (All 9 Partners),-,-,-,490,"$55,562,957.16",1031,553,-
